                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9568,                  2.136,                 1.6378,                0.50518,                0.44294,                0.41415,                0.17968,                 1.9541,                 1.8438,                 1.6274,             0.00041277,             0.00041277,             0.00041277
                      2,                 1.8802,                 1.6938,                 1.5715,                0.40953,                0.30715,                0.27139,                0.12385,                  2.082,                  2.975,                 1.7723,             0.00082396,             0.00082396,             0.00082396
                      3,                 1.8723,                  1.626,                 1.5544,                0.44604,                0.28278,                0.27208,                0.11832,                 2.2178,                 2.3872,                 1.7525,              0.0012297,              0.0012297,              0.0012297
                      4,                  1.855,                 1.5984,                  1.539,                0.59351,                0.41914,                0.44693,                0.20522,                 1.9412,                 1.8198,                 1.5675,              0.0012252,              0.0012252,              0.0012252
                      5,                 1.8103,                    1.5,                 1.5157,                0.64978,                0.39371,                0.46111,                0.22582,                 1.8839,                 1.7862,                 1.5351,              0.0012252,              0.0012252,              0.0012252
                      6,                 1.7851,                 1.4009,                 1.4682,                0.68798,                0.51619,                0.56363,                0.26572,                 1.8109,                 1.5198,                 1.4749,               0.001217,               0.001217,               0.001217
                      7,                 1.7167,                 1.3197,                 1.4408,                0.77166,                0.49724,                0.58699,                0.28997,                 1.7626,                 1.3392,                 1.4495,              0.0012087,              0.0012087,              0.0012087
                      8,                 1.6831,                 1.2722,                 1.4225,                0.72215,                0.56133,                0.62482,                0.30871,                 1.7633,                 1.2839,                 1.4688,              0.0012005,              0.0012005,              0.0012005
                      9,                  1.672,                 1.2272,                 1.4062,                0.72773,                0.56288,                0.62716,                0.30648,                 1.7689,                 1.2766,                 1.4465,              0.0011922,              0.0011922,              0.0011922
                     10,                  1.651,                 1.1951,                 1.3977,                0.78325,                0.58421,                0.65199,                0.32587,                 1.7014,                 1.2232,                 1.4035,               0.001184,               0.001184,               0.001184
                     11,                 1.6095,                 1.1342,                 1.3696,                0.76764,                0.59347,                0.65361,                0.32214,                 1.7069,                 1.2015,                 1.4166,              0.0011757,              0.0011757,              0.0011757
                     12,                 1.6202,                 1.1376,                 1.3881,                0.77467,                 0.5565,                0.65435,                0.32939,                  1.688,                 1.1809,                 1.3992,              0.0011675,              0.0011675,              0.0011675
                     13,                  1.596,                 1.0871,                 1.3683,                0.78803,                0.63666,                0.69646,                0.34911,                  1.669,                 1.0955,                 1.3889,              0.0011593,              0.0011593,              0.0011593
                     14,                 1.5643,                 1.0486,                 1.3382,                0.79985,                0.60778,                0.68163,                0.34479,                 1.6517,                  1.116,                 1.3723,               0.001151,               0.001151,               0.001151
